Streifen,GI_251007,GI_251201,GI_260304,MGRVI_260304,MGRVI_COLOR_260304,GI_260306,MGRVI_260306,MGRVI_COLOR_260306,GI_251203,MGRVI_251203,MGRVI_COLOR_251203,MGRVI_251201,MGRVI_COLOR_251201
ABAlterObstgarten 44,,0.3562623868576119,,,,0.3312863045446714,-0.0972810184848141,#eab308,,,,0.02329446586316693,#a3e635
ABAlterObstgarten 45,,0.3866097183179904,,,,0.3416285373482177,-0.0710986892157938,#eab308,,,,0.055569335585370014,#a3e635
ABAlterObstgarten 46,,0.3968015374080084,,,,0.3443175237377801,-0.0614181853595801,#eab308,,,,0.07246336254510782,#a3e635
ABAlterObstgarten 47,,0.37647020471650217,,,,0.3433622081636863,-0.0651086134126275,#eab308,,,,-0.013787457040721566,#eab308
ABAlterObstgarten 48,,0.37271052807003385,,,,0.350061234133955,-0.0425789117445389,#eab308,,,,-0.027043900677486576,#eab308
ABAlterObstgarten 49,,0.3643871606179838,,,,0.350572402942298,-0.0373587080207633,#eab308,,,,-0.04963224679705219,#eab308
ABAlterObstgarten 50,,0.3481979273506231,,,,0.3503265087868994,-0.0421199076111781,#eab308,,,,-0.16324210748176837,#eab308
ABAlterObstgarten 51,,0.3310299508762705,,,,0.3417117485525906,-0.0318195348181595,#eab308,,,,-0.11641082687025374,#eab308
ABAlterObstgarten 52,,0.4059649380731785,,,,0.3869978226206852,0.1071871214728982,#a3e635,,,,0.13512295539393238,#a3e635
ABAlterObstgarten 53,,0.3862365102633115,,,,0.4044378484741109,0.1513136351716061,#a3e635,,,,0.07368861147462995,#a3e635
ABAlterObstgarten 54,,0.3432685478577538,,,,0.3640507773504118,0.0272446291012762,#a3e635,,,,-0.07893195075197189,#eab308
ABAlterObstgarten 55,,0.39148861287738224,,,,0.3953980960901301,0.1189599607594988,#a3e635,,,,0.09019764214415296,#a3e635
ABAlterObstgarten 56,,0.3670630529393934,,,,0.3720393079171404,0.0541326972878252,#a3e635,,,,0.003063889391407758,#a3e635
ABAlterObstgarten 57,,0.38334604049425397,,,,0.3371139156448339,-0.0820302945847659,#eab308,,,,0.0855749594406301,#a3e635
ABAlterObstgarten 58,,0.3490654489883668,,,,0.3345543267373173,-0.0739447493134349,#eab308,,,,-0.07724523283052862,#eab308
ABAlterObstgarten 59,,0.33963457045355233,,,,0.3521960685662491,-0.0054902962118703,#eab308,,,,-0.07491756698141883,#eab308
ABAlterObstgarten 60,,0.4294903412190189,,,,0.3765660392214004,0.060676645929091,#a3e635,,,,0.2015729251012814,#4ade80
ABAlterObstgarten 61,,0.3302827813624793,,,,0.3360530858060105,-0.0583735555823135,#eab308,,,,-0.10917919492200605,#eab308
ABAlterObstgarten 62,,0.32833267628971613,,,,0.3320599943247984,-0.0735766151081351,#eab308,,,,-0.12331862097477611,#eab308
ABAlterObstgarten 63,,0.3261750229762568,,,,0.3361150992542454,-0.0582939670402465,#eab308,,,,-0.13778279171854813,#eab308
ABAlterObstgarten 64,,0.33765658302463825,,,,0.3688456114156512,0.0400955000001934,#a3e635,,,,-0.11558060535684032,#eab308
ABAlterObstgarten 65,,0.3298418525768948,,,,0.3392796256613216,-0.0448916379673001,#eab308,,,,-0.11045851709616723,#eab308
ABAlterObstgarten 66,,0.33583591752829706,,,,0.3438187392121973,-0.0339222000657126,#eab308,,,,-0.11765767887534011,#eab308
ABAlterObstgarten 67,,0.3293757144356234,,,,0.3386839608299483,-0.0464902656299128,#eab308,,,,-0.10599502350532646,#eab308
ABAlterObstgarten 68,,0.34097006814460606,,,,0.3534410061169999,-0.0064633909058276,#eab308,,,,-0.06778153675037153,#eab308
ABAlterObstgarten 69,,0.39472011292384784,,,,0.3403446808715486,-0.0511924384656058,#eab308,,,,0.06385475389442527,#a3e635
ABAlterObstgarten 70,,0.37461938729414956,,,,0.3353393969161347,-0.061240814256874,#eab308,,,,-0.01668411780363348,#eab308
ABAlterObstgarten 71,,0.41667980425516427,,,,0.3504261849858461,-0.031311469234089,#eab308,,,,0.13134974234579366,#a3e635
